sha256,first_relative_path,reused_by,source_page_url,notes
7dda0a55a6319c353ad06bbd6ee1a7f4d70a38d50522914f4d00e5a918f5b1bc,assets/downloaded/ch01/text1_loose/ch01_s008_r1_neural-network-architecture-transformer-atte.jpg,ch01:s012;ch01:s017;ch01:s018;ch01:s020;ch01:s033;ch01:s056;ch01:s057;ch01:s062;ch01:s064;ch05:s001;ch05:s037;ch05:s043;ch05:s049;ch05:s061;ch05:s063;ch05:s071;ch05:s087,https://www.bing.com/images/search?q=neural+network+architecture+Transformer+attention+mechanism+CNN+diagram+AI+big+data+materials+science+overview+AI+%E4%B8%8D%E6%98%AF%E5%8D%95%E4%B8%80%E6%8A%80%E6%9C%AF,loose duplicate
e44f9f5c7d685d021460f0ef6918e7f11e454856d99106d0248f4159d0c9d6bb,assets/downloaded/ch01/text1_loose/ch01_s007_r1_materials-informatics-calphad-phase-diagram.jpg,ch01:s019;ch01:s029;ch01:s042;ch01:s044;ch01:s045;ch01:s046;ch01:s048;ch01:s049;ch01:s051;ch01:s053;ch01:s054;ch01:s081;ch01:s085;ch01:s102;ch01:s113;ch08:s077,https://www.bing.com/images/search?q=materials+informatics+CALPHAD+phase+diagram+high-throughput+materials+design+AI+big+data+materials+science+overview+%E7%AC%A6%E5%8F%B7%E4%B8%BB%E4%B9%89%EF%BC%9A%E7%9F%A5%E8%AF%86%E3%80%81%E8%A7%84%E5%88%99%E4%B8%8E%E6%8E%A8%E7%90%86,loose duplicate
496440afd09c4e57a4b07c36d688eaffec79bd7197e2b5b373a10bf20fd9e2d9,assets/downloaded/ch01/text1_loose/ch01_s021_r1_bayesian-optimization-active-learning-loop-a.jpg,ch01:s022;ch01:s038;ch01:s068;ch01:s069;ch01:s084;ch01:s092;ch01:s098;ch01:s103;ch08:s004;ch08:s012;ch08:s031;ch08:s032;ch08:s039;ch08:s041;ch08:s042;ch08:s043;ch08:s047;ch08:s081;ch08:s088;ch08:s094;ch09:s091;ch09:s102;ch09:s109;ch09:s112;ch10:s056;ch10:s087;ch10:s100;ch10:s102,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+big+data+materials+science+overview+%E4%B8%89%E5%A4%A7%E5%AD%A6%E6%B4%BE%E7%9A%84%E4%BA%92%E8%A1%A5%E5%85%B3%E7%B3%BB,loose duplicate
059585fe1782810380923e3127f3828ed477ea1db44329dbfde401c6ea3843d7,assets/downloaded/ch01/text1_loose/ch01_s015_r1_bayes-theorem-diagram-probability-prior-post.jpg,ch01:s024;ch01:s059;ch03:s005;ch03:s006;ch03:s007;ch03:s008;ch03:s010;ch03:s011;ch03:s013;ch03:s014;ch03:s015;ch03:s016;ch03:s019;ch03:s021;ch03:s022;ch03:s023;ch03:s024;ch03:s026;ch03:s029;ch03:s030;ch03:s031;ch03:s032;ch03:s033;ch03:s034;ch03:s035;ch03:s036;ch03:s038;ch03:s039;ch03:s044;ch03:s045;ch03:s046;ch03:s048;ch03:s050;ch03:s051;ch03:s053;ch03:s055;ch03:s056;ch03:s057;ch03:s058;ch03:s059;ch03:s061;ch03:s062;ch03:s064;ch03:s065;ch03:s066;ch03:s067;ch03:s068;ch03:s070;ch03:s073;ch03:s075;ch03:s078;ch03:s079;ch03:s081;ch03:s082;ch03:s089;ch03:s091;ch03:s093;ch03:s094;ch03:s095;ch03:s096;ch03:s097;ch03:s098;ch03:s103;ch03:s107;ch03:s110;ch03:s113;ch03:s118;ch03:s119;ch03:s122;ch04:s061;ch05:s070;ch06:s014;ch06:s018;ch06:s122;ch07:s067;ch08:s005;ch08:s035;ch08:s036;ch08:s045;ch08:s051;ch08:s052;ch08:s055;ch08:s056;ch08:s057;ch08:s059;ch08:s066;ch08:s090;ch08:s093;ch10:s014;ch10:s071;ch10:s079,https://www.bing.com/images/search?q=Bayes+theorem+diagram+probability+prior+posterior+likelihood+AI+big+data+materials+science+overview+AI+%E7%9A%84%E6%A0%B8%E5%BF%83%E4%B8%8D%E6%98%AF%E2%80%9C%E6%9B%BF%E4%BB%A3%E4%BA%BA%E2%80%9D%EF%BC%8C%E8%80%8C%E6%98%AF%E2%80%9C%E5%A2%9E%E5%BC%BA%E4%BA%BA%E2%80%9D,loose duplicate
94605f8166e565358d5f8159e6e6a318b29d58dd084c23a47ce7ae36608c2005,assets/downloaded/ch01/text1_loose/ch01_s005_r1_ai-big-data-materials-science-overview-conce.jpg,ch01:s030;ch01:s095,https://www.bing.com/images/search?q=AI+big+data+materials+science+overview+4V+%E4%B9%8B%E4%BA%8C%EF%BC%9AVelocity+%E9%AB%98%E9%80%9F%E6%80%A7+concept+diagram+open+educational+resource+4V+%E4%B9%8B%E4%BA%8C%EF%BC%9AVelocity+%E9%AB%98%E9%80%9F%E6%80%A7,loose duplicate
3b5c20a1df33cf44172c5ee07bac114e322b7f259532c3668f3a04a599772118,assets/downloaded/ch01/text1_loose/ch01_s023_r1_machine-learning-workflow-feature-engineerin.jpg,ch01:s039;ch01:s110;ch04:s011;ch04:s012;ch04:s014;ch04:s033;ch04:s040;ch04:s045;ch04:s046;ch04:s048;ch04:s049;ch04:s052;ch04:s054;ch04:s056;ch04:s057;ch04:s062;ch04:s064;ch04:s065;ch04:s067;ch04:s068;ch04:s069;ch04:s070;ch04:s071;ch04:s073;ch04:s077;ch04:s081;ch04:s090;ch04:s092;ch04:s093;ch04:s094;ch04:s095;ch04:s100;ch04:s107;ch04:s117;ch04:s118;ch04:s121;ch04:s130;ch05:s036;ch05:s084;ch06:s023;ch06:s030;ch08:s019;ch08:s037;ch08:s040;ch08:s067;ch09:s085;ch09:s108;ch09:s114;ch10:s007;ch10:s013;ch10:s018;ch10:s019;ch10:s020;ch10:s031;ch10:s059;ch10:s061;ch10:s070;ch10:s075;ch10:s076;ch10:s080;ch10:s083;ch10:s110,https://www.bing.com/images/search?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+AI+big+data+materials+science+overview+%E6%95%B0%E6%8D%AE%E9%A9%B1%E5%8A%A8%E6%9D%90%E6%96%99%E7%A0%94%E7%A9%B6%E7%9A%84%E5%9F%BA%E6%9C%AC%E6%B5%81%E7%A8%8B,loose duplicate
74a7b3b1582c52cc66a76acb2227f9e4e328e0556068681d0c4250f1f76de231,assets/downloaded/ch01/text1_loose/ch01_s032_r1_ai-big-data-materials-science-overview-4v-va.jpg,ch01:s047;ch01:s074;ch01:s091;ch01:s105;ch01:s111,https://www.bing.com/images/search?q=AI+big+data+materials+science+overview+%E6%9D%90%E6%96%99%E2%80%9C%E5%9B%9B%E8%A6%81%E7%B4%A0%E2%80%9D%E5%85%B3%E7%B3%BB+concept+diagram+open+educational+resource+%E6%9D%90%E6%96%99%E2%80%9C%E5%9B%9B%E8%A6%81%E7%B4%A0%E2%80%9D%E5%85%B3%E7%B3%BB,loose duplicate
ba5322deb0bd2f1b02031d108cb955d3c2f6931e7a629a14b07fda81caf84130,assets/downloaded/ch01/text1_loose/ch01_s065_r1_large-language-model-transformer-attention-m.jpg,ch01:s067;ch01:s090;ch05:s132;ch06:s001;ch06:s004;ch06:s005;ch06:s006;ch06:s007;ch06:s008;ch06:s010;ch06:s011;ch06:s012;ch06:s013;ch06:s015;ch06:s016;ch06:s019;ch06:s020;ch06:s021;ch06:s025;ch06:s026;ch06:s027;ch06:s028;ch06:s029;ch06:s032;ch06:s034;ch06:s035;ch06:s036;ch06:s041;ch06:s042;ch06:s053;ch06:s054;ch06:s058;ch06:s060;ch06:s061;ch06:s064;ch06:s065;ch06:s067;ch06:s072;ch06:s075;ch06:s077;ch06:s078;ch06:s086;ch06:s090;ch06:s091;ch06:s092;ch06:s095;ch06:s096;ch06:s102;ch06:s103;ch06:s107;ch06:s108;ch06:s110;ch06:s112;ch06:s113;ch06:s116;ch06:s119;ch06:s124;ch06:s126;ch06:s128;ch08:s008;ch08:s009;ch08:s020;ch10:s005;ch10:s047;ch10:s054;ch10:s086;ch10:s095;ch10:s111,https://www.bing.com/images/search?q=large+language+model+Transformer+attention+mechanism+prompt+engineering+workflow+AI+big+data+materials+science+overview+%E5%A4%A7%E8%AF%AD%E8%A8%80%E6%A8%A1%E5%9E%8B%E7%9A%84%E8%83%BD%E5%8A%9B%E8%BE%B9%E7%95%8C,loose duplicate
d0ad6fefd212d727cd015a078c3512d662a9a3f2493678fb6f496d566ec41e18,assets/downloaded/ch01/text1_loose/ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,ch01:s073;ch01:s077;ch01:s079;ch01:s104;ch04:s005;ch04:s010;ch04:s013;ch04:s015;ch04:s016;ch04:s041;ch04:s047;ch04:s051;ch04:s053;ch04:s078;ch04:s097;ch04:s115;ch07:s051,https://www.bing.com/images/search?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+AI+big+data+materials+science+overview+%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%A6%E9%97%AE%E9%A2%98%E7%9A%84+AI+%E5%8C%96,loose duplicate
01acec268e1a6e0a0ab31fdf3acc2ccc58903db21fcc3ec57592ca564721cedc,assets/downloaded/ch01/text1_loose/ch01_s031_r1_materials-microstructure-recognition-microsc.jpg,ch01:s078,https://www.bing.com/images/search?q=materials+microstructure+recognition+microscopy+image+AI+big+data+materials+science+overview+%E6%A1%88%E4%BE%8B+2%EF%BC%9A%E6%98%BE%E5%BE%AE%E7%BB%84%E7%BB%87%E5%9B%BE%E5%83%8F%E8%AF%86%E5%88%AB,loose duplicate
9c871ccad17b7fe6dc4681e8cbd698c196e2fa711e674cf0dc7040a934c4b8ff,assets/downloaded/ch01/text1_loose/ch01_s037_r1_ai-big-data-materials-science-overview-conce.jpg,ch01:s083;ch01:s087;ch01:s100,https://www.bing.com/images/search?q=AI+big+data+materials+science+overview+%E6%9D%90%E6%96%99+AI+%E4%B8%AD%E7%9A%84%E7%89%A9%E7%90%86%E7%BA%A6%E6%9D%9F+concept+diagram+open+educational+resource+%E6%9D%90%E6%96%99+AI+%E4%B8%AD%E7%9A%84%E7%89%A9%E7%90%86%E7%BA%A6%E6%9D%9F,loose duplicate
25a2f4b5f1c4ffc0207d7f2e4e97f84d106c6b8107fbaf873ee9ff895d1b9f83,assets/downloaded/ch01/text1_loose/ch01_s036_r1_trustworthy-ai-framework-data-privacy-fairne.jpg,ch01:s089;ch01:s093;ch01:s096;ch01:s097;ch01:s099;ch04:s112;ch10:s001;ch10:s055;ch10:s073,https://www.bing.com/images/search?q=trustworthy+AI+framework+data+privacy+fairness+explainability+robustness+diagram+AI+big+data+materials+science+overview+1.6+AI+%E5%8F%91%E5%B1%95%E5%BC%95%E5%8F%91%E7%9A%84%E7%A7%91%E5%AD%A6%E3%80%81%E4%BC%A6%E7%90%86%E4%B8%8E%E5%AE%89%E5%85%A8%E6%80%9D%E8%80%83,loose duplicate
448c44208d82f6499aa11f1a0be354dbccf6a4002754ee02452ab4b348f7723c,assets/downloaded/ch01/text1_loose/ch01_s060_r1_machine-learning-workflow-feature-engineerin.jpg,ch01:s107;ch04:s017;ch04:s021;ch04:s030;ch04:s037;ch04:s042;ch04:s044;ch04:s055;ch04:s059;ch04:s066;ch04:s072;ch04:s075;ch04:s079;ch04:s096;ch04:s099;ch04:s102;ch04:s106;ch04:s109;ch04:s123;ch04:s127;ch05:s005;ch05:s008;ch05:s010;ch05:s012;ch05:s016;ch05:s019;ch05:s020;ch05:s033;ch05:s040;ch05:s042;ch05:s051;ch05:s060;ch05:s090;ch05:s092;ch05:s126;ch05:s128;ch08:s038;ch08:s048,https://www.bing.com/images/search?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+AI+big+data+materials+science+overview+Python+%E7%A4%BA%E4%BE%8B%EF%BC%9A%E4%BB%8E%E6%95%B0%E6%8D%AE%E5%88%B0%E6%A8%A1%E5%9E%8B,loose duplicate
2b9838afd8a7d581cceea4bd37d569d94f2b0481b8712db580f7cb14519378a6,assets/downloaded/ch01/text1_loose/ch01_s094_r1_python-pandas-data-preprocessing-workflow-mi.jpg,ch01:s112;ch02:s001;ch02:s003;ch02:s008;ch02:s009;ch02:s010;ch02:s011;ch02:s012;ch02:s014;ch02:s016;ch02:s018;ch02:s019;ch02:s020;ch02:s022;ch02:s023;ch02:s024;ch02:s025;ch02:s026;ch02:s028;ch02:s030;ch02:s034;ch02:s041;ch02:s043;ch02:s056;ch02:s058;ch02:s059;ch02:s060;ch02:s061;ch02:s062;ch02:s067;ch02:s068;ch02:s069;ch02:s070;ch02:s071;ch02:s073;ch02:s074;ch02:s075;ch02:s076;ch02:s077;ch02:s078;ch02:s087;ch02:s097;ch02:s113;ch02:s114;ch02:s116;ch02:s117;ch02:s118;ch02:s121;ch02:s122;ch02:s123;ch02:s126;ch02:s128;ch02:s129;ch06:s049,https://www.bing.com/images/search?q=Python+pandas+data+preprocessing+workflow+missing+values+feature+scaling+diagram+AI+big+data+materials+science+overview+%E4%B8%8B%E4%B8%80%E7%AB%A0%E9%A2%84%E5%91%8A,loose duplicate
e87947a7876be2a88c1ec43f11419cfcef41cf96a5307f0b18dcaec79cb8f4de,assets/downloaded/ch01/text1_loose/ch01_s106_r1_python-pandas-data-preprocessing-workflow-mi.jpg,ch02:s004;ch02:s021;ch02:s047;ch02:s055;ch02:s081;ch02:s085;ch02:s096;ch02:s100;ch02:s101;ch02:s105;ch02:s127;ch05:s101;ch05:s102;ch05:s118;ch05:s127;ch06:s063;ch06:s079;ch06:s121;ch08:s022;ch08:s023;ch08:s058;ch09:s007;ch09:s011;ch09:s015;ch09:s021;ch09:s032;ch09:s056;ch09:s074;ch09:s093;ch09:s107;ch09:s120;ch10:s022;ch10:s037;ch10:s108;ch10:s109,https://www.bing.com/images/search?q=materials+microstructure+recognition+microscopy+image+Python+data+preprocessing+materials+dataset+workflow+%E8%AF%BE%E5%A0%82%E5%AF%BC%E5%85%A5%EF%BC%9A%E4%B8%BA%E4%BB%80%E4%B9%88%E5%85%88%E8%AE%B2%E6%95%B0%E6%8D%AE%E9%A2%84%E5%A4%84%E7%90%86%EF%BC%9F,loose duplicate
49be14db440c0b13652c6737fb74fbacd9c05d83498852fd8c1b458676dc3210,assets/downloaded/ch02/text1_loose/ch02_s038_r1_python-data-preprocessing-materials-dataset.jpg,ch02:s049;ch02:s050;ch02:s051;ch02:s052;ch02:s072;ch02:s090;ch02:s093;ch02:s102;ch02:s103;ch02:s107;ch02:s109;ch02:s112;ch02:s131;ch04:s031;ch09:s031;ch10:s081,https://www.bing.com/images/search?q=Python+data+preprocessing+materials+dataset+workflow+%E6%80%A7%E8%83%BD%E6%95%B0%E6%8D%AE%EF%BC%9A%E6%A8%A1%E5%9E%8B%E9%A2%84%E6%B5%8B%E7%9B%AE%E6%A0%87+concept+diagram+open+educational+resource+%E6%80%A7%E8%83%BD%E6%95%B0%E6%8D%AE%EF%BC%9A%E6%A8%A1%E5%9E%8B%E9%A2%84%E6%B5%8B%E7%9B%AE%E6%A0%87,loose duplicate
7ba7cec7cae1d336297988bf6430058ca8db2a88f8f99a8e7607c9120ecdd0aa,assets/downloaded/ch02/text1_loose/ch02_s088_r1_bayes-theorem-diagram-probability-prior-post.jpg,ch02:s106;ch02:s132;ch03:s001;ch03:s012;ch03:s017;ch03:s018;ch03:s020;ch03:s037;ch03:s041;ch03:s042;ch03:s043;ch03:s047;ch03:s049;ch03:s052;ch03:s063;ch03:s069;ch03:s071;ch03:s076;ch03:s084;ch03:s088;ch03:s106;ch03:s108;ch03:s109;ch03:s117;ch03:s120;ch05:s015;ch05:s076;ch05:s110;ch05:s111;ch06:s120,https://www.bing.com/images/search?q=Bayes+theorem+diagram+probability+prior+posterior+likelihood+Python+data+preprocessing+materials+dataset+workflow+%E5%B0%8F%E6%A0%B7%E6%9C%AC%E4%B8%8E%E9%AB%98%E7%BB%B4%E7%89%B9%E5%BE%81,loose duplicate
d6f07e75288b4e1b573e778877a89aef76fbc1c89a4247f33c8a16afa993396d,assets/downloaded/ch02/text1_loose/ch02_s079_r1_machine-learning-workflow-feature-engineerin.jpg,ch02:s111;ch02:s130;ch04:s019;ch04:s036;ch04:s084;ch04:s128,https://www.bing.com/images/search?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+Python+data+preprocessing+materials+dataset+workflow+%E6%A8%A1%E5%9E%8B%E8%AF%84%E4%BC%B0%E6%8C%87%E6%A0%87%E4%B8%8E%E6%95%B0%E6%8D%AE%E8%B4%A8%E9%87%8F,loose duplicate
1d9830b0a60c8aa5c09e0807fdde079f90440b91b05dc05f5f2aca8bc26adab3,assets/downloaded/ch03/text1_loose/ch03_s004_r1_materials-microstructure-recognition-microsc.jpg,ch03:s009;ch03:s083;ch03:s087;ch03:s092,https://www.bing.com/images/search?q=materials+microstructure+recognition+microscopy+image+Bayes+theorem+probability+inference+diagram+3.1.1+%E4%BB%8E%E9%9A%8F%E6%9C%BA%E8%AF%95%E9%AA%8C%E5%88%B0%E6%A0%B7%E6%9C%AC%E7%A9%BA%E9%97%B4,loose duplicate
